time,node_name,event_type,child1_name,child2_name
0,0,Leaf,,
0,1,Leaf,,
0,2,Leaf,,
0,3,Leaf,,
0,4,Leaf,,
0,5,Leaf,,
0,6,Leaf,,
0,7,Leaf,,
0,8,Leaf,,
0,9,Leaf,,
0,10,Leaf,,
0,11,Leaf,,
0,12,Leaf,,
0,13,Leaf,,
0,14,Leaf,,
0,15,Leaf,,
0,16,Leaf,,
0,17,Leaf,,
0,18,Leaf,,
0,19,Leaf,,
0,20,Leaf,,
0,21,Leaf,,
0,22,Leaf,,
0,23,Leaf,,
0,24,Leaf,,
0,25,Leaf,,
0,26,Leaf,,
0,27,Leaf,,
0,28,Leaf,,
0,29,Leaf,,
0,30,Leaf,,
0,31,Leaf,,
0,32,Leaf,,
0,33,Leaf,,
0,34,Leaf,,
0,35,Leaf,,
0,36,Leaf,,
0,37,Leaf,,
0,38,Leaf,,
0,39,Leaf,,
0,40,Leaf,,
0,41,Leaf,,
0,42,Leaf,,
0,43,Leaf,,
0,44,Leaf,,
0,45,Leaf,,
0,46,Leaf,,
0,47,Leaf,,
0,48,Leaf,,
0,49,Leaf,,
0.009867614067858145,50,Speciation,20,1
0.023675789095390035,51,Speciation,43,7
0.11547795991115953,52,Speciation,27,21
0.14755401320133008,53,Speciation,12,0
0.15851341552209236,54,Extinction,,
0.1656534914490534,55,Speciation,30,31
0.21312536564003365,56,Speciation,26,13
0.22871539095124213,57,Speciation,28,52
0.23013575235032235,58,Speciation,40,14
0.23997214915049486,59,Speciation,29,58
0.24910352614804368,60,Speciation,3,10
0.26703275229458784,61,Speciation,38,51
0.2776774698429104,62,Speciation,25,32
0.30674831569959954,63,Speciation,11,41
0.35127590546565785,64,Speciation,18,45
0.3591907969988231,65,Extinction,,
0.3741333811621942,66,Speciation,61,46
0.38914208587025534,67,Speciation,64,4
0.4044915759458242,68,Speciation,24,35
0.4116320916113563,69,Speciation,49,36
0.4192742783733139,70,Speciation,50,60
0.44565031425153456,71,Extinction,,
0.45091255203650943,72,Speciation,69,59
0.4816678484238867,73,Extinction,,
0.48551980710307757,74,Extinction,,
0.5051849142259481,75,Speciation,53,44
0.5109563957701928,76,Speciation,72,9
0.5115879210832226,77,Speciation,8,63
0.5177217918635101,78,Extinction,,
0.5394415730024963,79,Speciation,73,19
0.6074833067836237,80,Extinction,,
0.6232457610827318,81,Extinction,,
0.6532622465846641,82,Speciation,48,78
0.6698299340335446,83,Extinction,,
0.6807864087771819,84,Extinction,,
0.6897580504737958,85,Extinction,,
0.7038292360688401,86,Extinction,,
0.7356252441034375,87,Speciation,56,15
0.7438551976542626,88,Speciation,6,47
0.7801733660173009,89,Extinction,,
0.7949885967490075,90,Speciation,85,65
0.8155878911852856,91,Speciation,76,68
0.8738152796128597,92,Speciation,91,70
0.8812703728172187,93,Extinction,,
0.9350316747346861,94,Extinction,,
0.9421102791988317,95,Speciation,42,84
0.9718810119835597,96,Speciation,95,93
0.9764297603739794,97,Speciation,22,82
0.9795110191359165,98,Extinction,,
1.0049953681503305,99,Speciation,89,87
1.0368591879524272,100,Speciation,16,77
1.0434811746646784,101,Speciation,54,97
1.046606066032602,102,Speciation,57,33
1.0569097570399015,103,Speciation,90,98
1.0607190507844504,104,Speciation,5,74
1.0759990265643495,105,Speciation,62,83
1.1035806116849296,106,Extinction,,
1.1214471549944245,107,Extinction,,
1.1388146317470955,108,Speciation,71,104
1.1517917967261617,109,Speciation,81,96
1.1554340281551025,110,Speciation,92,101
1.1563621956883996,111,Extinction,,
1.199856237196921,112,Extinction,,
1.240686058520473,113,Speciation,105,107
1.3035159245086214,114,Extinction,,
1.3236531862699399,115,Speciation,67,106
1.3881411562045336,116,Speciation,79,112
1.3899478267182532,117,Speciation,116,39
1.4837808747574106,118,Speciation,17,94
1.5011750395865089,119,Speciation,23,110
1.5137781579949245,120,Speciation,88,99
1.598648500438846,121,Speciation,102,117
1.675559365508068,122,Speciation,80,108
1.6921972170993043,123,Speciation,121,34
1.6986876936797048,124,Speciation,113,66
1.7409723280398288,125,Speciation,2,111
1.8288493493389277,126,Speciation,115,118
1.830684666491577,127,Speciation,124,122
1.8387244386309245,128,Speciation,86,100
1.8413411959188213,129,Speciation,114,125
2.1576686446269133,130,Speciation,103,75
2.2507683760345985,131,Speciation,120,109
2.2949706750787655,132,Speciation,37,119
2.30772148790292,133,Speciation,132,123
2.432169303191165,134,Speciation,131,55
2.562641265081115,135,Speciation,133,127
2.5810262847887993,136,Speciation,135,130
2.7433487537995633,137,Speciation,129,126
2.869594562099097,138,Speciation,136,137
3.1029992943292592,139,Extinction,,
3.119792595507343,140,Extinction,,
3.1779854589405234,141,Speciation,134,139
3.459530544707758,142,Extinction,,
3.5690355064091683,143,Extinction,,
3.6115016050509237,144,Speciation,138,142
3.701380281571814,145,Speciation,140,143
3.859088975842312,146,Speciation,145,144
3.893939140362954,147,Extinction,,
4.093069111837188,148,Extinction,,
4.09453918468952,149,Speciation,128,148
4.217196273907204,150,Speciation,147,141
4.346265049156332,151,Speciation,149,150
4.430522277047758,152,Speciation,146,151
